Weighted/Muni,Density,Land Area,Metro/Nonmetro status,,
Aleutians East,0.49,6982,rural,,
Aleutians West,1.19,4390,Rural,,
Anchorage,170.62,1705,Central,,
Bethel,0.46,40570,rural,,Rural = non-metor
Bristol Bay,1.75,504,rural,,
Denali,0.13,12751,rural,,
Dillingham,0.26,18569,Rural,,
Fairbanks North Star,13.04,7338,Central,,
Haines,0.89,2319,Rural,,
Hoonah-Angoon,0.36,7525,Rural,,
Juneau,11.93,2702,Rural,,
Kenai Peninsula,3.67,16075,Rural,,
Ketchikan Gateway,2.87,4858,Rural,,
Kodiak Island,1.96,6550,Rural,,
Lake and Peninsula,0.06,23652,Rural,,
Matanuska-Susitna,4.33,24608,Outlying,,
Nome,0.44,22962,Rural,,
North Slope,0.12,88695,rural,,
Northwest Arctic,0.22,35573,rural,,
Petersburg,1.17,3282,rural,,
Prince of Wales-Hyder,1.09,3923,rural,,
Sitka,2.95,2870,rural,,
Skagway,2.86,452,rural,,
Southeast Fairbanks,0.27,24769,rural,,
Valdez-Cordova,0.28,34240,rural,,
Wade Hampton(kusilvak),0.49,17081,rural,,
Wrangell,0.83,2541,rural,,
Yakutat,0.09,7649,rural,,
Yukon-Koyukuk,0.04,145505,rural,,
