SL/Muni,Municode,Registered Voters ,Times Counted ,"Castle, Darrell L. ","Clinton, Hillary ","De La Fuente, Roque ","Johnson, Gary ","Stein, Jill ","Trump, Donald J. ",Write-in 60 ,SL Total
Ketchikan Gateway,Ketchikan,10512,6336.659567,68.47592626,1991.181493,20.58367639,476.2645427,127.2269554,3429.365312,154.0522642,6267.15017
Prince of Wales-Hyder,Prince of Wales-Hyder,4630,2863.176187,76.78061933,1092.953553,32.87107438,140.9141567,93.10665753,1308.156189,85.89165394,2830.673904
Sitka,Sitka,7218,4474.524672,53.67057153,2007.310969,24.36616968,210.1308129,127.9499468,1886.434505,118.0528931,4427.915868
Petersburg,Petersburg,2741,1728.177139,18.03762868,621.542066,9.452786652,89.09389421,56.24494143,862.2779553,49.35818246,1706.007455
Wrangell,Wrangell,1731,1132.369429,10.67281188,301.8756041,4.360300698,59.62144263,20.75371398,704.890639,21.97798461,1124.152497
Hoonah-Angoon,Hoonah-Angoon,1939,1430.836333,35.80336074,714.7698788,13.92376706,78.96861736,43.29553362,490.2810368,34.80254527,1411.84474
Juneau,JNU,25481,16573.23409,157.8626097,8593.580735,62.46294568,981.6277767,413.6294568,5775.652604,452.0924025,16436.90853
Valdez-Cordova,VC,8087,4484.143523,72.17299374,1225.77717,13.09362734,297.5081751,93.74082839,2618.14075,128.819911,4449.253456
Haines,Haines,2297,1654.519507,27.10976293,847.8893037,5.977972746,67.43867836,70.77972746,566.4786261,51.75770021,1637.431772
Skagway,Skagway,1119,838.5030801,7.586708979,468.8963972,4.001306702,52.9400784,33.01306702,228.4631324,34.01437372,828.9150644
Yakutat,Yakutat,458,346.2338129,1.377486246,147.7784596,0.918324164,23.98942023,8.168218366,149.4561997,11.39779941,343.0859077
Yukon-Koyukuk,YK,4128,2727.058345,77.65632195,1374.803648,14.01751039,144.2258385,35.77371316,943.1000067,86.82034175,2676.39738
Bethel,Bethel,10216,4943.812822,283.6182922,2679.762244,33.73520457,253.4618258,257.4685366,1096.451919,287.7347977,4892.23282
Southeast Fairbanks,SEF,5341,3432.764972,41.4644433,719.8356513,6.367509035,167.6362418,49.22778679,2340.133728,81.69979764,3406.365158
Wade Hampton,Wade-Hampton,4260,2054.509703,146.6527317,1180.360462,13.43221569,85.1939013,41.78175359,415.3903297,135.6699937,2018.481387
Kenai Peninsula,Kenai,44774,29033.67986,280.2632247,7519.981168,97.84214981,1481.326703,520.9054168,18296.19255,644.1159543,28840.62717
Fairbanks North Star,F,70979,41179.57606,462.0861298,13635.46756,125.5048471,2637.925802,801.6577181,21896.3613,1317.372483,40876.37584
Denali,Denali,1785,1113.348434,13.09675615,369.810962,4.045488441,59.43829232,20.05704698,606.2175615,32.93791946,1105.604027
Matanuska-Susitna,Mat-Su,69741,45251.48299,469.8778637,8604.346171,152.7323226,2394.371815,566.2403489,31635.84662,1088.461051,44911.8762
Anchorage,ANC,216679,131072.3993,982.8277563,53969.09986,473.6940824,7971.493484,1981.508982,61082.57978,3579.125925,130040.3299
Kodiak Island,Kodiak,9609,5817.76259,62.14430808,2019.162505,29.42953872,397.2369869,124.2319086,2992.181126,140.0892933,5764.475667
Lake and Peninsula,Lake and Peninsula,1199,500.6557098,21.4511193,205.4548031,8.294134316,44.74553698,13.86285067,177.905639,24.588552,496.3026353
Aleutians East,Aleutians East,1489,546.8033437,12.61405497,192.9387929,5.313686597,28.26041371,9.98668178,267.2201757,12.96004534,529.2938509
Dillingham,Dillingham,3118,1908.297535,44.30150184,954.9773307,8.116180221,110.3927458,39.0691414,672.3037688,54.2074242,1883.368093
Aleutians West,Aleutians West,2537,1227.256447,18.99319921,657.9328422,3.719183905,49.93850949,17.5548314,418.699915,46.66449419,1213.502975
Bristol Bay,Bristol Bay,822,464.4196656,6.238594503,160.6061207,5.26863134,29.07395863,5.701331822,239.2779824,7.103995466,453.2706149
Nome,Nome,6161,3291.871895,157.4022467,1688.736228,24.7507021,181.0537913,58.47591272,899.6230287,232.7790019,3242.820912
Northwest Arctic,NW Arctic,4455,2183.428184,133.7804878,1134.417344,21.72899729,109.2466125,41.59349593,572.0921409,135.9756098,2148.834688
North Slope,North Slope,4660,2319.494851,121.9804878,1098.750678,18.99566396,94.4799458,50.99349593,775.8254743,141.4756098,2302.501355
Total,Total,528166,320931,3866,116180,1239,18718,5724,163347,9192,318266
